<<<<<<< HEAD
cityName,NAME3,wardName,wardNo,numUnemployed,numEmployed,workForce,workingAgePop
149,wuhan,QiaoKouQu,YiJiaDunJieDaoBanShiChu,150,1102,67580,42393
150,wuhan,WuChangQu,BaiShaZhouJieBanShiChu,151,939,57627,36150
151,wuhan,CaiDianQu,TongHuBanShiChu,152,27,1686,1057
152,wuhan,QingShanQu,YeJinJieDaoBanShiChu,153,916,56192,35250
153,wuhan,JiangXiaQu,DongHuKaiFaQuDaWuChenBanShiChu,154,154,9457,5933
154,wuhan,CaiDianQu,CaiDianJieBanShiChu,155,1736,106495,66805
155,wuhan,HongShanQu,WuHanHuaGongQuJianSheXiang,156,398,24424,15321
156,wuhan,CaiDianQu,DaJiJieBanShiChu,157,351,21520,13500
157,wuhan,QiaoKouQu,ChongRenJieDaoBanShiChu,158,458,28105,17631
158,wuhan,QiaoKouQu,ZongGuanJieDaoBanShiChu,159,822,50431,31636
159,wuhan,HuangBeiQu,WangJiaHeJieDao,160,510,31326,19651
160,wuhan,HanYangQu,WuLiDunJieBanShiChu,161,1071,65669,41195
161,wuhan,WuChangQu,DongHuFengJingQuJieDao(WuChang),162,179,10978,6886
162,wuhan,JiangHanQu,BeiHuJieBanShiChu,163,467,28639,17966
163,wuhan,QiaoKouQu,HanJiaDunJieDaoBanShiChu,164,1200,73595,46167
164,wuhan,JiangAnQu,XinCunJieBanShiChu,165,835,51200,32118
165,wuhan,HuangBeiQu,ChangXuanLingJieDao,166,363,22269,13970
166,wuhan,WuChangQu,HuangHeLouJieBanShiChu,167,750,46036,28879
167,wuhan,HuangBeiQu,CaiJiaZhaJieDao,168,296,18169,11398
168,wuhan,QingShanQu,HongWeiLuJieDaoBanShiChu,169,957,58688,36816
169,wuhan,JiangHanQu,MinQuanJieBanShiChu,170,450,27592,17309
170,wuhan,DongXiHuQu,JingHeJieDaoBanShiChu,171,444,27252,17095
171,wuhan,WuChangQu,YangYuanJieBanShiChu,172,1350,82792,51936
172,wuhan,JiangXiaQu,JinShuiBanShiChu,173,69,4263,2674
173,wuhan,JiangXiaQu,WuLiJieJieBanShiChu,174,329,20204,12674
174,wuhan,QingShanQu,QingShanZhenJieDaoBanShiChu,175,241,14829,9302
175,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuMiaoShanBanShiChu,176,689,42282,26524
176,wuhan,JiangAnQu,HuaQiaoJieBanShiChu,177,1590,97496,61160
177,wuhan,WuChangQu,ShouYiLuJieBanShiChu,178,857,52588,32989
178,wuhan,QingShanQu,HongGangChengJieDaoBanShiChu,179,441,27065,16978
179,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuDaQiaoXinQuBanShiChu,180,845,51815,32504
180,wuhan,HuangBeiQu,HengDianJieDao,181,598,36695,23019
181,wuhan,HuangBeiQu,DaTanBanShiChu,182,37,2279,1430
182,wuhan,DongXiHuQu,JinYinHuJieDaoBanShiChu,183,708,43453,27258
183,wuhan,XinZhouQu,CangBuJieDaoBanShiChu,184,780,47870,30029
184,wuhan,HuangBeiQu,PanLongChengJingJiKaiFaQu,185,668,40996,25717
185,wuhan,JiangAnQu,TaiBeiJieBanShiChu,186,466,28627,17958
>>>>>>> 1dd93ac219d0bbab11de7f7282e7916b8a419d86
